name,real_name,country,seller_type,sales_count,available_items,rating,approval_very_good,approval_good,approval_neutral,approval_bad,shipping_days,street_address,postal_code,city
redsuncollectables,Red Sun Collectables Ltd,United Kingdom,Professional,4542,15280,Very good,96 %,4 %,0 %,0 %,10,10 Fernlea Close,WF16 0EF,Heckmondwike
ReeliTrading,Reeli Trading GmbH,Germany,Professional,6726,1763,Outstanding,99.4 %,0.6 %,0 %,0 %,12,Otto-von-Guericke Straße 88,39104,Magdeburg
RegigangTCG,Johannes Forster,Germany,Powerseller,5781,2676,Outstanding,100 %,0 %,0 %,0 %,11,Schmellerstraße 34,95643,Tirschenreuth
RELIC-TCG,RELIC,France,Powerseller,45070,97379,Outstanding,99.9 %,0.1 %,0 %,0 %,18,61 grande rue saint michel,31400,Toulouse
ReneX-MTG,Constantino Castiñeira Ibañez,Spain,Professional,15104,142888,Outstanding,100 %,0 %,0 %,0 %,7,Av. Virgen Desamparados 4 2º pta3,46950,Xirivella
Replaygames,Replay Games,United Kingdom,Professional,5631,6333,Outstanding,100 %,0 %,0 %,0 %,14,97 High Street,BT20 5BD,Bangor
Retro-Empire-Gaming,Retro Empire Gaming,Netherlands,Professional,514,1450,Outstanding,100 %,0 %,0 %,0 %,13,Eglantier 141,7329DD,Apeldoorn
Retrocave,Retrocave,United Kingdom,Professional,787,5488,Outstanding,99 %,1 %,0 %,0 %,16,498 Ashley Road,BH14 0AD,Poole
Retroconrep,RetroconrepTCG,Germany,Professional,224,30,Outstanding,99 %,1 %,0 %,0 %,11,Karlstraße 21,37603,Holzminden
RetroMagic,RetroMagic,Belgium,Powerseller,60295,644403,Outstanding,99.4 %,0.6 %,0 %,0 %,,Petunialaan 24,8400,Oostende
rexicomix,Rexi comix srl,Italy,Professional,1329,2934,Outstanding,100 %,0 %,0 %,0 %,16,"Viale Emilia 21B, Riccione",47838,Rimini
RhinoCardGames,Rhinocard Games,Spain,Powerseller,7255,15770,Outstanding,100 %,0 %,0 %,0 %,10,Soledad Nº6,03311,La Aparecida
Richluis24-,ARL DI LUIGI RICCIO,Italy,Professional,445,63,Outstanding,98 %,2 %,0 %,0 %,25,Via Augusto Righi 32,80125,Napoli
Richmighty,Mighty Cards,United Kingdom,Professional,13914,7981,Outstanding,100 %,0 %,0 %,0 %,20,3 Racecourse Road,NG18 4EZ,Mansfield
RickBro,RickBro,Germany,Professional,2340,26316,Outstanding,100 %,0 %,0 %,0 %,11,Vogelhain 5,59581,Warstein
Rip-Flip-TCG,Rip & Flip TCG´s,Germany,Professional,512,11796,Outstanding,100 %,0 %,0 %,0 %,13,Mühlenstraße 8,16321,Bernau bei Berlin
Rishadan-Magic-Store,Dario Monteleone D. I.,Italy,Professional,7733,201372,Outstanding,100 %,0 %,0 %,0 %,16,Via G. A. Sartorio 31,00147,Roma
risingphoenixgames,Rising Phoenix Games,United Kingdom,Professional,2440,1000,Outstanding,100 %,0 %,0 %,0 %,14,39-41 Borough Road,TS1 4AF,Middlesbrough
RKards,RK Computer & Game,Italy,Professional,780,2549,Outstanding,100 %,0 %,0 %,0 %,14,Via Mazzini 7,10059,Susa (TO)
RNGTCG,RNG GAMES LIMITED,United Kingdom,Professional,2218,85,Outstanding,100 %,0 %,0 %,0 %,12,RNG GAMES 45 Old Sneddon Street,PA3 2AN,Paisley
robtod862,Robert Todeskino,Germany,Professional,1566,823,Outstanding,100 %,0 %,0 %,0 %,8,Seetorstraße 12,31737,Rinteln
RoccaTreCorvi,Khimera SRL,Italy,Professional,6703,5156,Outstanding,99 %,0 %,0 %,1 %,18,Via Piave 15,16016,Cogoleto
Roczyyy,Victor Canaple,France,Professional,750,977,Outstanding,100 %,0 %,0 %,0 %,9,107 Bis Avenue De Saint Ouen,75017,Paris
roggen94,Roggen94,Germany,Professional,4217,494,Outstanding,97 %,3 %,0 %,0 %,16,Wilhelm-Busch str 7,26131,Oldenburg
Roguesquarter,Rogues Quarter LTD,United Kingdom,Professional,516,744,Outstanding,100 %,0 %,0 %,0 %,15,155-157 Queens Crescent,NW5 4EA,London
Roll-n-Trade,Roll 'n' Trade,Greece,Professional,20799,177660,Outstanding,99.7 %,0.3 %,0 %,0 %,13,Konstanta 144B,38221,Volos
romainmtbtcg,Romain Cappelletti,France,Professional,11672,26286,Outstanding,100 %,0 %,0 %,0 %,11,3 rue rené cassin,82000,Montauban
RossoCinque,Prometheus S.a.s.,Italy,Powerseller,5140,259418,Outstanding,99 %,0.5 %,0.5 %,0 %,13,Via Dei Ciclamini 15,47522,Cesena
RtDcornwallcic,Roll The Dice Cornwall C.I.C.,United Kingdom,Professional,335,38,Outstanding,100 %,0 %,0 %,0 %,10,Chy Hemma Pasmore Road,TR13 8ED,Helston
RUBENCASTRO24,Francisco Moreno Morales,Spain,Professional,19123,31207,Outstanding,100 %,0 %,0 %,0 %,7,Apartado de Correos 5023,29080,Málaga
RubyCards,RubyCards,Germany,Professional,5574,1097,Outstanding,100 %,0 %,0 %,0 %,16,Bromberger Str. 8,41065,Mönchengladbach
RubyTrade,Ruby Trade,Czech Republic,Professional,3034,19587,Outstanding,100 %,0 %,0 %,0 %,13,Ke Kapličce 207,25073,Podolanka
RucanGames,Rucan Games,United Kingdom,Professional,18188,27273,Outstanding,100 %,0 %,0 %,0 %,16,Cotton Avenue,W3 6YF,London
ruicasasnovas,"Gargula Templo de Jogos, Unip. Lda",Portugal,Professional,30297,235058,Outstanding,100 %,0 %,0 %,0 %,11,Rua Rainha D. Amelia Lote 47 3ºDto,2675-469,Odivelas
Rumah-TCG,Rumah TCG,Germany,Powerseller,103,1128,Outstanding,100 %,0 %,0 %,0 %,11,Neuenhofer Str. 83,42657,Solingen
rutky1240,Juraj Ruttkay,Slovakia,Professional,1574,58987,Outstanding,100 %,0 %,0 %,0 %,11,Topolcianska 20,85105,Bratislava
SagaStore,SagaStore,Portugal,Professional,304,28462,Outstanding,100 %,0 %,0 %,0 %,9,Avenida D. Afonso Henriques 387,4450-014,Matosinhos
saladeglieroi,Ma.Ga. S.a.S. di Rivello Mattia & C.,Italy,Professional,594,41195,Outstanding,99 %,1 %,0 %,0 %,17,Via Fratelli Villani 27,10093,Collegno
sallierie,The Guildmaster Trading,Netherlands,Professional,1935,29348,Outstanding,99.5 %,0.5 %,0 %,0 %,16,Koningsweg 99,6655AB,Puiflijk
SaltyCards,SaltyCards,Germany,Professional,29560,90764,Outstanding,99.7 %,0.2 %,0.1 %,0 %,16,Stadtweg 8,24837,Schleswig
samarpan,SAMARPAN,Greece,Powerseller,57758,825531,Outstanding,99.1 %,0.9 %,0 %,0 %,19,M.ALEXANDROU 6,38221,VOLOS
SamilamX,Sam Axelsson,Sweden,Professional,2194,142994,Outstanding,100 %,0 %,0 %,0 %,18,Tvärgatan 3B,67151,Arvika
Sammelbaron,Sammeltor,Germany,Powerseller,149,369,Outstanding,100 %,0 %,0 %,0 %,8,Pütrichstraße 18,82362,Weilheim
Sammelkartenfuchs,Sammelkartenfuchs,Germany,Professional,967,886,Outstanding,99 %,1 %,0 %,0 %,13,Hauptstraße 50,18442,Steinhagen Ot Negast
SammelkartenF,Sammelkarten Fundgrube,Germany,Professional,7850,60857,Outstanding,100 %,0 %,0 %,0 %,11,Novalisstr. 14,06333,Hettstedt
Sammelkatens,Paul Katens,Germany,Professional,5550,5898,Outstanding,99 %,0 %,1 %,0 %,13,Hauptstraße 47,84085,Langquaid
Sammelmania,Sammelmania,Austria,Powerseller,183,680,Outstanding,98 %,2 %,0 %,0 %,16,Harrachgasse 2,6845,Hohenems
Sammelnerds,Sammelnerds,Germany,Professional,1022,5656,Outstanding,100 %,0 %,0 %,0 %,8,Barmbeker Str. 39,22303,Hamburg
SammelnUndSpielen,Sammeln & Spielen,Germany,Powerseller,2662,5595,Outstanding,100 %,0 %,0 %,0 %,11,Nürnberger Straße 24,90542,Eckental
Sammelsturm,Sammelsturm,Germany,Professional,496,9984,Outstanding,99.4 %,0.6 %,0 %,0 %,11,Basler Straße 164,79539,Lörrach
SanctumofCards,Sanctum of Cards,Germany,Professional,32762,541684,Outstanding,98.5 %,0.6 %,0.6 %,0.3 %,16,Bielefelder Str. 40,49186,Bad Iburg
sandal,Des cartes dans les étoiles,France,Professional,9758,25772,Outstanding,100 %,0 %,0 %,0 %,10,12 rue de Pont-à-Mousson,57580,REMILLY
Saruman-games,Saruman Games,Spain,Professional,823,953,Outstanding,100 %,0 %,0 %,0 %,7,Calle del Rosario 99,02003,Albacete
satrianONE,Tobias Kossok,Germany,Powerseller,2782,1216,Outstanding,100 %,0 %,0 %,0 %,11,Otto-von-Wollank-Straße 44,14089,Berlin
Saturos333,Angel Rodríguez Arévalo,Spain,Professional,5102,63062,Outstanding,100 %,0 %,0 %,0 %,10,Hellín 27,14850,Baena
sauronproject,Cardproject,Spain,Professional,60,89,Very good,97.9 %,0 %,2.1 %,0 %,11,C/ Jazmin 32,04410,benahadux
Sbruzzetta,TI AMO 3000 COMICS,Italy,Professional,310,4173,Outstanding,100 %,0 %,0 %,0 %,16,Frazione San Luca 83,10068,VILLAFRANCA PIEMONTE
SC-BrosGaming,Stussy Crew di Cherubini Federico,Italy,Powerseller,12595,32739,Very good,94.8 %,3.1 %,2.1 %,0 %,31,Via Vecchia Aretina 85/4,50067,Rignano Sull'Arno (FI)
schaminos,Thorsten Voss,Germany,Professional,10769,25021,Outstanding,99.7 %,0.3 %,0 %,0 %,13,hauptstrasse 70,25491,Hetlingen
Schandt,Konstantin Basalyk,Germany,Professional,8705,18390,Outstanding,100 %,0 %,0 %,0 %,13,Berliner Straße 8d,93057,Regensburg
Schlaeppis-m-cards,Schläppi's Magic Cards,Switzerland,Professional,81,28957,Outstanding,100 %,0 %,0 %,0 %,7,Horbengasse 1,3054,Schüpfen
SchlechtundTeuer,Lars Krüger,Germany,Professional,6387,31622,Outstanding,100 %,0 %,0 %,0 %,16,Hermesweg 6,21075,Hamburg
Schlizzer,Games-Café,Germany,Powerseller,6790,28438,Outstanding,100 %,0 %,0 %,0 %,16,Leuchtenberger Straße 9,92706,Luhe-Wildenau
Schlumbes,Christian Elsässer,Germany,Professional,4625,42559,Outstanding,100 %,0 %,0 %,0 %,11,Faulbrunnenweg 116,65439,Bad Weilbach
Schmale2403,Flohmarkt Power,Germany,Professional,4219,20771,Outstanding,98.1 %,1.9 %,0 %,0 %,16,Hauptstr. 49,94167,Tettenweis
Schmollanski,MB's Takodachis,Germany,Professional,750,728,Outstanding,98 %,2 %,0 %,0 %,11,Feldkircher Weg 32,40789,Monheim
SchrottosCCGs,Otto Meier SchrottosCCGs,Germany,Professional,25936,206811,Outstanding,100 %,0 %,0 %,0 %,16,St. Petersburger Straße 3,01069,Dresden
Scotsman26777,Scotsman26777,United Kingdom,Professional,23449,12739,Outstanding,99.6 %,0.4 %,0 %,0 %,14,5 Millfield Wynd,PA8 6JH,Erskine
Sdf-mtg,supermarketdelfumetto,Italy,Powerseller,5163,5128,Outstanding,100 %,0 %,0 %,0 %,20,via circumvallazione n.32-34-36,83100,avellino
SebHei14,Sebastian Hein,Germany,Professional,1001,305,Outstanding,98 %,2 %,0 %,0 %,11,Mohriner Allee 48,12347,Berlin
Sebjoker,Sebastian Holst,Germany,Professional,7308,5668,Outstanding,100 %,0 %,0 %,0 %,13,Grevesmühlener Chaussee 12,19057,Schwerin
Sebuuster,Claudiu Kornet,Germany,Professional,2301,8991,Outstanding,100 %,0 %,0 %,0 %,13,Sudetenstr. 25,83301,Traunreut
Secondlife,Second Life Fumetteria,Italy,Professional,3353,214541,Outstanding,100 %,0 %,0 %,0 %,16,Via Dei Mirti 86,97100,Ragusa
Secret-Wonders,Tycho Himpens,Belgium,Professional,4175,8214,Outstanding,98.2 %,1.8 %,0 %,0 %,16,Schooldreef 31B,8020,Oostkamp
seho,playset-seho,Germany,Professional,15368,10646,Outstanding,100 %,0 %,0 %,0 %,11,Clemensstr. 2,40225,Düsseldorf
Sephiroth79,Clément idier,France,Professional,1059,404,Outstanding,100 %,0 %,0 %,0 %,11,27 Route Du Dragor,79160,Faye-sur-Ardin
SephiZH,Yu Hang Zhu,Germany,Professional,297,7793,Outstanding,100 %,0 %,0 %,0 %,8,Krumme Str. 3,10585,Berlin
SeptiemeLegende,Septième Légende,France,Professional,3151,22254,Outstanding,100 %,0 %,0 %,0 %,,107 Cours Victor Hugo,33130,Bègles
SeventhCity,7th City Collectables,United Kingdom,Powerseller,65757,809153,Outstanding,99.4 %,0.6 %,0 %,0 %,18,Lenton Street,NG105DJ,Sandiacre
SG-Cards,SG-Cards,Germany,Professional,2889,27,Outstanding,100 %,0 %,0 %,0 %,16,Hauptstrasse 90A,69226,Nußloch
Sguerini,THE CARD HEAVEN di Guerini Stefano,Italy,Professional,110,1325,Outstanding,100 %,0 %,0 %,0 %,7,Viale Rimembranze 5,20034,San Giorgio Su Legnano
shadowofq,SHADOWOFQ,France,Professional,1297,245,Outstanding,100 %,0 %,0 %,0 %,9,68 RUE DE LA CHARITE,69002,LYON
Shady08,Manuel Mencías,Spain,Professional,3523,17738,Outstanding,99.1 %,0 %,0.9 %,0 %,9,Calle Pizarro Nº8,10739,Segura De Toro
Shark-Games,Shark Malaga Ocio SL,Spain,Powerseller,72825,105680,Outstanding,100 %,0 %,0 %,0 %,9,"c\ Antonio Maura nº:9 Bajo , Local comercial",29003,Malaga
SharkGames-JP,Sergio Marfil Torres,Spain,Professional,2713,7415,Outstanding,100 %,0 %,0 %,0 %,7,"c\ Antonio Maura nº:9 Bajo , Local comercial",29003,Málaga
Shatter-Trading,Shatter Trading - Inh. Jan Behres,Germany,Powerseller,258,5944,Outstanding,100 %,0 %,0 %,0 %,9,Mehlbergweg 35,55232,Alzey
Shenbear,Gia Hoa Ngo,Germany,Professional,2884,1627,Outstanding,100 %,0 %,0 %,0 %,11,August schlüter Strasse 37,48249,Dülmen
shinigamicomics,Shinigami Comics C.B,Spain,Professional,709,717,Outstanding,100 %,0 %,0 %,0 %,6,Calle Ancha 3 Bajo,24401,Ponferrada
ShinyHunterStore,ShinyHunterStore,Spain,Professional,3529,14466,Outstanding,100 %,0 %,0 %,0 %,7,Grup Vint-i-cinc de setembre 24  0402,08191,Rubí
ShireiRobin,Robin Koch,Germany,Professional,491,5536,Outstanding,100 %,0 %,0 %,0 %,13,Odenwaldstraße 25,46145,Oberhausen
Shoohoai,Damien Garot,France,Professional,1238,318,Outstanding,98.8 %,0.6 %,0.6 %,0 %,11,15 Philippe De Commynes,37230,FONDETTES
Shop4Nerds,"EloquentEpisode, Unip. Lda",Portugal,Professional,2033,26634,Outstanding,98 %,2 %,0 %,0 %,12,"Rua Joaquim Nicolau de Almeida, 88",4430-116,Vila Nova De Gaia
ShopponiStore,ShopponiStore,Italy,Professional,6279,50994,Outstanding,99.1 %,0.9 %,0 %,0 %,14,Corso Bramante 70/A,10126,Torino (TO)
Sib51,ELROLO-TCG,France,Professional,3585,7675,Outstanding,100 %,0 %,0 %,0 %,12,2 Ter Rue De La Louviere,70400,CHENEBIER
sibilla,L'Antro della Sibilla,Italy,Professional,1233,2395,Outstanding,99 %,0 %,1 %,0 %,16,Via Salerno 30,84091,Battipaglia SA
SideQuestGr,Side Quest Games,Greece,Professional,287,2483,Outstanding,100 %,0 %,0 %,0 %,11,PATRON GERMANOU 14,22100,TRIPOLIS
Siggy-Toys,Siggy Toys,Germany,Professional,1521,6976,Outstanding,100 %,0 %,0 %,0 %,16,Kampstr. 4,38442,Wolfsburg
SigilliteGames,Sigillit Games,United Kingdom,Professional,12159,138,Outstanding,100 %,0 %,0 %,0 %,13,Pitley Lodge Pitley Hill,TQ137JY,Ashburton
SilphCoLtd,Silph Co. Limited,United Kingdom,Professional,259,7,Outstanding,100 %,0 %,0 %,0 %,,8 Motspur Park,KT3 6PN,New Malden
silvermyr,MK Handel,Germany,Powerseller,25567,8813,Outstanding,100 %,0 %,0 %,0 %,13,Ortsstraße 95,64756,Mossautal
Simon-plays-TCG,Simon plays TCG Simon Behler,Germany,Professional,2396,1291,Outstanding,100 %,0 %,0 %,0 %,21,Birkenweg 9,64331,Weiterstadt
Simonsellscards,Simon Sells Cards,United Kingdom,Professional,2118,1353,Outstanding,100 %,0 %,0 %,0 %,14,"Suite 7, Watton Mill, Mill Lane",SG14 3FR,Watton at Stone
Sissoucard,EI - SissouCard,France,Professional,954,543,Outstanding,100 %,0 %,0 %,0 %,12,24 Rue Chanzy,60110,Meru
Skaldenmagie,Skaldenmagie,Switzerland,Powerseller,25586,122113,Outstanding,100 %,0 %,0 %,0 %,11,Delfterstrasse 39,5004,Aarau
Skash-Cards,Skash Cards,Germany,Professional,4385,5,Outstanding,100 %,0 %,0 %,0 %,13,Eberswalder Straße 104,15374,Müncheberg
SkySpell,Venditura AG,Switzerland,Professional,4539,8643,Outstanding,99.5 %,0.5 %,0 %,0 %,7,Bahnhofstrasse 8,3414,Oberburg
slashrose,Gonçalo Silva,Portugal,Professional,10626,218127,Outstanding,100 %,0 %,0 %,0 %,12,Rua Coronel Melo Antunes nº7 6A,2745-871,Massamá
SMC1,Harald Baierhofer,Germany,Professional,8845,74530,Outstanding,99 %,0 %,1 %,0 %,13,Wasserburg Strasse 50,83395,Freilassing
SnapAndCast,Noah Birk Andersen,Denmark,Professional,450,7989,Outstanding,100 %,0 %,0 %,0 %,12,kong Georgsvej 25 2tv,5000,Odense C
snawer,Snawer,Denmark,Professional,1741,965,Outstanding,100 %,0 %,0 %,0 %,11,pilegårdsvej 13,4200,Slagelse
snooop,Snooop,France,Professional,1582,17236,Outstanding,100 %,0 %,0 %,0 %,14,3 Denis Etcheverry,64100,Bayonne
Snoopy93,DicoMagic,France,Professional,602,6254,Outstanding,100 %,0 %,0 %,0 %,12,29 Rue De L’eglise,93370,Montfermeil
SnorriNosebiter,Sandor Dalecke,Germany,Professional,5277,15578,Outstanding,100 %,0 %,0 %,0 %,15,Stolzenburgstr 26,67705,Stelzenberg
SodGamesGerpinnes,Nico Paix Games,Belgium,Professional,496,1595,Outstanding,99.1 %,0 %,0.9 %,0 %,12,Rue D'Acoz 5H,6120,Ham-sur-Heure-Nalinnes
SodGames,Nathan Tytgat,Belgium,Powerseller,37873,1312787,Outstanding,100 %,0 %,0 %,0 %,16,Place Albert 1er 32,6220,Fleurus
SoHotTCG,Ioannis Spanos,Greece,Professional,5982,13474,Outstanding,100 %,0 %,0 %,0 %,14,Serifou 30,15562,Athens
Sole19-41,Andrea Nillo Galimberti,Italy,Professional,1662,6139,Outstanding,100 %,0 %,0 %,0 %,14,Piazza del Sole 19/41,33054,Lignano Sabbiadoro (UD)
Sonicdoc,Andre Vandamme,Germany,Professional,786,409,Outstanding,100 %,0 %,0 %,0 %,13,Soudronstraße 4,76275,Ettlingen
SorceryCards,SorceryCards,Czech Republic,Professional,3360,162501,Outstanding,100 %,0 %,0 %,0 %,13,Pšenčíkova 679,14200,Praha
Sorcith,David Peña Carmona,Spain,Professional,72357,267453,Outstanding,100 %,0 %,0 %,0 %,8,C/ Higueras 6,11402,Jerez De La Frontera
Sosna1,Konrad Sosinski,Poland,Professional,5177,18535,Outstanding,98.2 %,1.8 %,0 %,0 %,18,Witkiewicza 14,03-305,Warszawa
Souko,EIRL DALLOYEAU Sébastien,France,Professional,25979,70,Outstanding,99.2 %,0.5 %,0.3 %,0 %,11,10 Quater rue de l'Europe carré vert,74200,THONON
Souly68,The Nerd Elves - Thomas J. Wagner,Germany,Powerseller,194,530,Outstanding,100 %,0 %,0 %,0 %,11,Sandweg 1a,63579,Freigericht
Spartasantapola,SPARTA Santa Pola,Spain,Professional,27,243,Good,100 %,0 %,0 %,0 %,9,C/virgen Del Carmen 12 Bajo Izq,03130,Santa Pola
spasiv,Jose Antonio Salan Gutierrez,Spain,Professional,1552,1483,Outstanding,99 %,1 %,0 %,0 %,7,C/ Bellavista Nº 26,39012,Santander
SpectralTrading,Spectral Trading,Germany,Professional,1710,24317,Outstanding,100 %,0 %,0 %,0 %,8,Bischofsweg 7,01097,Dresden
Speedymtg,Moritz Lütze,Germany,Professional,882,247,Outstanding,99.2 %,0.8 %,0 %,0 %,11,Vochemer Straße 21,50354,Hürth
spelenenspellen,Spelen en Spellen,Netherlands,Professional,79,2597,Outstanding,100 %,0 %,0 %,0 %,8,Burgemeester De Vlugtlaan 151D,1063BK,Amsterdam
Spelgrottan,Spelgrottan AB,Sweden,Professional,16,59,Good,100 %,0 %,0 %,0 %,21,Trädgårdsgatan 8,45131,Uddevalla
Spelkwartier,Spelkwartier,Netherlands,Professional,4837,123932,Outstanding,100 %,0 %,0 %,0 %,11,Steenstraat 4,6828CJ,Arnhem
SpellbookGmbH,Spellbook GmbH,Germany,Professional,1393,661,Outstanding,100 %,0 %,0 %,0 %,8,Mauernstraße 19,29221,Celle
SpellboundGames,Spellbound Games Ltd.,United Kingdom,Professional,3396,147,Outstanding,99 %,1 %,0 %,0 %,16,Arch 4 Angel Lane,SE17 3FR,London
Spellfactory,Jonathan Agorreta,France,Powerseller,11904,81504,Outstanding,99.5 %,0.5 %,0 %,0 %,11,57 place de la bourgade,07260,Joyeuse
Spellslingers,Engen's Cardstock,Norway,Powerseller,23100,223353,Outstanding,100 %,0 %,0 %,0 %,20,Willas Vei 4,3085,Holmestrand
SpellWard,Daniel Král,Czech Republic,Professional,114,420,Outstanding,100 %,0 %,0 %,0 %,14,Husova 406,33401,Přeštice
spelspektakel,Spel & Spektakel AB,Sweden,Professional,2649,1990,Outstanding,100 %,0 %,0 %,0 %,16,Kristinagatan 16,72461,Västerås
spielbrettcoat,Spielbrett.co.at,Austria,Professional,4756,21714,Outstanding,100 %,0 %,0 %,0 %,14,Bergham 21,4891,Pöndorf
Spieledrache,Fuhrmann & Hoppe GbR,Germany,Professional,19321,707,Outstanding,99.5 %,0.5 %,0 %,0 %,18,Pastor-Moritz-Str. 1a,14476,Potsdam
SpieleheldTCG,Andreas Haberl,Austria,Professional,1178,371,Outstanding,100 %,0 %,0 %,0 %,9,Bahnwegsiedlung 5/3,9314,Launsdorf
spieleladen-de,Der andere Spieleladen,Germany,Professional,27650,273411,Outstanding,100 %,0 %,0 %,0 %,13,Prenzlauer Allee 192,10405,Berlin
spielewelt-jung,Spielewelt Jung,Germany,Professional,3982,408,Outstanding,100 %,0 %,0 %,0 %,13,Bellevue 8,23968,Gägelow
Spielewelten-Patrik,Spielewelten Patrik Kondziella,Germany,Professional,448,1114,Outstanding,100 %,0 %,0 %,0 %,8,Joseph-Haydn-Straße 3,79664,Wehr
SpielFilmMusik,SpielFilmMusik,Germany,Powerseller,13649,623,Outstanding,100 %,0 %,0 %,0 %,11,Wünsdorfer Str. 98,12307,Berlin
Spielkultur,Spielkultur,Germany,Professional,2815,2781,Outstanding,100 %,0 %,0 %,0 %,13,Stralsunder Str. 4,16515,Oranienburg
spielraum-bielefeld,Spielraum GmbH,Germany,Professional,1758,148,Very good,98 %,0 %,2 %,0 %,12,Am Sparrenberg 2,33602,Bielefeld
SpielRaum,SpielRaum GmbH,Austria,Powerseller,134700,1028477,Outstanding,99.2 %,0.8 %,0 %,0 %,18,Otto Bauer Gasse 17,1060,Wien
Spielstatt,Spielstatt GmbH,Switzerland,Professional,424,361,Outstanding,100 %,0 %,0 %,0 %,5,Vordere Vorstatt 14,5000,Aarau
squirrelTCG,squirrelTCG,Netherlands,Professional,2128,20636,Outstanding,100 %,0 %,0 %,0 %,16,Sweelinckstraat 45,3314WH,Dordrecht
stahlkarnickel2,Stahlkarnickel,Germany,Professional,7167,4507,Outstanding,100 %,0 %,0 %,0 %,8,Erthalstraße 18,97074,Würzburg
StardustCards,Stardust Cards & Collectibles LTD,United Kingdom,Professional,2298,32710,Outstanding,100 %,0 %,0 %,0 %,14,217 Green Lane,SE9 3TA,London
STARDUSTSHOP,Klaus Jöde,Germany,Powerseller,70955,498306,Outstanding,99.8 %,0.2 %,0 %,0 %,12,Zeppelinstr. 99,70193,Stuttgart
StargateMN,STARGATE MANTOVA,Italy,Professional,17584,4890,Outstanding,100 %,0 %,0 %,0 %,11,Viale col di lana n.25,46100,Mantova
StargateMO,STARGATE MODENA,Italy,Professional,14568,97382,Outstanding,100 %,0 %,0 %,0 %,,"Viale IV Novembre, 2",41123,Modena
starnium,Starnium,France,Professional,109,12241,Outstanding,100 %,0 %,0 %,0 %,9,13 impasse des terres fortes,78490,Mareil le Guyon
starwarsuniverse,Quidvis Universum Limited,United Kingdom,Professional,1708,24,Outstanding,99 %,0 %,1 %,0 %,14,1 High Street,CM9 5PB,Maldon
StarWizard,Star Wizard,France,Professional,2137,18642,Outstanding,100 %,0 %,0 %,0 %,11,44 Avenue du Maréchal Foch,09200,Saint Girons
StayCollected,Stay Collected,Germany,Professional,3894,1804,Outstanding,100 %,0 %,0 %,0 %,11,Sudermannstr. 12,60431,Frankfurt Am Main
STBDavies,Tango Whiskey Games,United Kingdom,Professional,518,196,Outstanding,99 %,0 %,1 %,0 %,12,23 Woodland Park,TQ3 2ST,Paignton
steinewald,Steinewald,Germany,Professional,3,78,,100 %,0 %,0 %,0 %,11,Westerbergstraße 35,38162,Cremlingen
Stormcollectiblesmtg,Daniel Jerónimo,Portugal,Professional,1057,13516,Outstanding,100 %,0 %,0 %,0 %,12,"Rua Jaime Cortesão, Lote 5, 3 Drt",7000-907,ÉVORA
STRANGECOMICS,STRANGE COMICS DI TUMMINO SANTA,Italy,Professional,14125,46332,Outstanding,100 %,0 %,0 %,0 %,14,VIA GIUSEPPE GIUSTI 3,20831,SEREGNO
StrangerMurcia,Stranger Games,Spain,Professional,4429,50318,Outstanding,100 %,0 %,0 %,0 %,9,C/Arquitecto Emilio Pérez Piñero N10 bajo,30007,Murcia
Strategiaetattica,Strategia 2 SRL,Italy,Professional,2096,238185,Outstanding,100 %,0 %,0 %,0 %,12,Via Massaciuccoli 99/A,00199,Roma
StratosGames,Stratos Games,Bulgaria,Professional,4694,432,Outstanding,99 %,1 %,0 %,0 %,12,Poltava 1 G,5000,Veliko Tarnovo
sturlodrillo,Luca Sturlese,Italy,Powerseller,276,89,Outstanding,100 %,0 %,0 %,0 %,18,Nazionale 52,54011,Aulla (ms)
SunGamesCollection,Sunny NAHABEDIAN,France,Professional,5739,3457,Outstanding,98.6 %,1.4 %,0 %,0 %,18,350 RUE ROGER MARTIN DU GARD,83370,SAINT-AYGULF
SunnysCardGame,Souheil Chouki,Germany,Professional,2126,343,Outstanding,100 %,0 %,0 %,0 %,13,Niederberger Höhe 18,56077,Koblenz
SwainCards,Vls Management Commv,Belgium,Professional,127,25,Outstanding,100 %,0 %,0 %,0 %,13,TORTELDREEF 10,2360,OUD-TURNHOUT
sweil,Trade & Treasure,Germany,Professional,136,312,Outstanding,100 %,0 %,0 %,0 %,9,Rehgartenstr 23,35683,Dillenburg
SynMaple,SynMaple Cardtrading,Germany,Professional,5747,16157,Outstanding,100 %,0 %,0 %,0 %,10,Brückenstraße 16,53913,Heimerzheim
T-C-Games,TCGames di Giangeri Mirko,Italy,Professional,1702,23602,Outstanding,100 %,0 %,0 %,0 %,11,Via San Salvatore 13G,52021,Bucine
T-REX-TCG,T-REX TCG S.R.L.,Italy,Professional,758,1762,Outstanding,100 %,0 %,0 %,0 %,14,"Via della Bufalotta, 29",00139,Roma
TabCardS,Hugo TABUTIAUX,France,Professional,3724,1985,Outstanding,100 %,0 %,0 %,0 %,9,56 Chemin de l'estey,33360,LATRESNE
Table-flip,Roman Stärk,Germany,Professional,5326,838,Outstanding,97.9 %,1.6 %,0.5 %,0 %,19,Rosenaustr 51,86150,Augsburg
Table1MTG,Table1MTG,France,Professional,15984,69250,Outstanding,97.6 %,2.4 %,0 %,0 %,19,2 rue John Lennon,95370,Montigny lès Cormeilles
